,User,Card,Year,Month,Day,Time,Amount,Use Chip,Merchant Name,Merchant City,Merchant State,Zip,MCC,Fraud,Errors_Bad CVV,Errors_Bad Card Number,Errors_Bad Expiration,Errors_Bad PIN,"Errors_Bad PIN,Insufficient Balance","Errors_Bad PIN,Technical Glitch",Errors_Insufficient Balance,Errors_Technical Glitch,latitude,longitude
0,0,0,2002,9,1,6:21,134.09,2,3.53E+18,La Verne,CA,91750,5300,0,0,0,0,0,0,0,0,0,34.1008426,-117.7678355
1,0,0,2002,9,3,6:23,104.71,2,5.82E+18,La Verne,CA,91750,5912,0,0,0,0,0,0,0,0,0,34.1008426,-117.7678355
2,0,0,2002,9,5,9:35,57.1,2,4.06E+18,La Verne,CA,91750,7538,0,0,0,0,0,0,0,0,0,34.1008426,-117.7678355
3,0,0,2002,9,5,20:18,76.07,2,-4.50E+18,La Verne,CA,91750,5814,0,0,0,0,0,0,0,0,0,34.1008426,-117.7678355
4,0,0,2002,9,7,9:39,29.34,2,4.06E+18,La Verne,CA,91750,7538,0,0,0,0,0,0,0,0,0,34.1008426,-117.7678355
5,0,0,2002,9,8,6:10,147.45,2,-3.46E+16,La Verne,CA,91750,5912,0,0,0,0,0,0,0,0,0,34.1008426,-117.7678355
6,0,0,2002,9,8,6:38,27.75,2,4.06E+18,La Verne,CA,91750,5411,0,0,0,0,0,0,0,0,0,34.1008426,-117.7678355
7,0,0,2002,9,9,6:54,37.5,2,4.06E+18,La Verne,CA,91750,5411,0,0,0,0,0,0,0,0,0,34.1008426,-117.7678355
8,0,0,2002,9,9,9:40,65.5,2,-3.35E+18,La Verne,CA,91750,7538,0,0,0,0,0,0,0,0,1,34.1008426,-117.7678355
9,0,0,2002,9,9,13:19,56.42,2,3.19E+18,La Verne,CA,91750,5311,0,0,0,0,0,0,0,0,0,34.1008426,-117.7678355
10,0,0,2002,9,9,13:31,2.71,2,4.06E+18,La Verne,CA,91750,5411,0,0,0,0,0,0,0,0,0,34.1008426,-117.7678355
11,0,0,2002,9,10,6:22,102.18,2,3.53E+18,La Verne,CA,91750,5300,0,0,0,0,0,0,0,0,0,34.1008426,-117.7678355
12,0,0,2002,9,10,6:31,36.73,2,-3.46E+16,La Verne,CA,91750,5912,0,0,0,0,0,0,0,0,0,34.1008426,-117.7678355
13,0,0,2002,9,11,6:28,162.39,2,4.06E+18,La Verne,CA,91750,5411,0,0,0,0,0,0,0,0,0,34.1008426,-117.7678355
14,0,0,2002,9,11,6:33,34.4,2,-3.46E+16,La Verne,CA,91750,5912,0,0,0,0,0,0,0,0,0,34.1008426,-117.7678355
15,0,0,2002,9,11,19:30,80.18,2,-1.61E+18,La Verne,CA,91750,5812,0,0,0,0,0,0,0,0,0,34.1008426,-117.7678355
16,0,0,2002,9,12,6:21,122.1,2,4.06E+18,La Verne,CA,91750,5411,0,0,0,0,0,0,0,1,0,34.1008426,-117.7678355
17,0,0,2002,9,12,6:26,92.76,2,4.06E+18,La Verne,CA,91750,5411,0,0,0,0,0,0,0,0,0,34.1008426,-117.7678355
18,0,0,2002,9,12,6:50,52.52,2,4.06E+18,La Verne,CA,91750,5411,0,0,0,0,0,0,0,0,0,34.1008426,-117.7678355
19,0,0,2002,9,12,11:43,1.13,2,6.67E+18,La Verne,CA,91750,5499,0,0,0,0,0,0,0,0,0,34.1008426,-117.7678355
20,0,0,2002,9,13,6:22,126.79,2,1.91E+18,La Verne,CA,91750,5300,0,0,0,0,0,0,0,0,0,34.1008426,-117.7678355
21,0,0,2002,9,13,6:37,44.41,2,-3.46E+16,La Verne,CA,91750,5912,0,0,0,0,0,0,0,0,0,34.1008426,-117.7678355
22,0,0,2002,9,14,6:09,164.37,2,-3.46E+16,La Verne,CA,91750,5912,0,0,0,0,0,0,0,0,0,34.1008426,-117.7678355
23,0,0,2002,9,14,13:08,12.76,2,-4.50E+18,La Verne,CA,91750,5814,0,0,0,0,0,0,0,0,0,34.1008426,-117.7678355
24,0,0,2002,9,15,5:34,109.94,2,5.82E+18,La Verne,CA,91750,5912,0,0,0,0,0,0,0,0,0,34.1008426,-117.7678355
